,mean,std
support_mean_c743,0.8880394692666665,
support_mean_c750,1.4420893646333335,
support_mean_c751,0.49229041215222225,
support_mean_c752,1.083298457333333,
support_mean_c754,1.0894716037777779,
support_mean_c755,0.3627267168666666,
support_mean_c756,1.5553982823333332,
support_mean_c757,0.8239747693333332,
support_mean_c758,0.5541604615692777,
support_mean_c759,0.8424597535555554,
support_mean_c762,0.5356855016333333,
support_mean_c765,0.7093290145444445,
support_mean_c766,0.7191985211999999,
support_mean_c767,0.5164974933333333,
support_mean_c771,0.8329194946666669,
support_mean_c772,1.2133113684444443,
support_mean_c775,0.7385855167777778,
support_mean_c776,0.6076404570333334,
support_mean_c777,0.4545318013222222,
support_mean_c778,0.5715074555555556,
support_mean_c779,0.8216385166666669,
support_mean_c782,0.3747184352277778,
support_mean_c784,0.9525117446666667,
support_mean_c785,1.9163301147777778,
support_mean_c790,0.4507014974111111,
support_mean_c791,0.5388326024444444,
support_mean_c792,0.9408283293333335,
support_mean_c794,0.6451245661666667,
support_mean_c798,0.6252620155155555,
support_mean_c8,0.9731231113166667,
support_mean_c80,0.9968480081111111,
support_mean_c803,1.291318642888889,
support_mean_c805,0.4862750799666667,
support_mean_c806,0.5502640111,
support_mean_c808,0.728807785888889,
support_mean_c811,0.9275728199444445,
support_mean_c813,0.6317336391111111,
support_mean_c815,0.4303020192222221,
support_mean_c816,0.9811900432777779,
support_mean_c821,1.6636077746666669,
support_mean_c822,0.40545621782222213,
support_mean_c827,1.5061226909999996,
support_mean_c829,0.5637800670777777,
support_mean_c83,0.4374523581311111,
support_mean_c832,0.36690760591111116,
support_mean_c834,0.672636177988889,
support_mean_c838,0.4655406297777777,
support_mean_c839,0.3866335741211111,
support_mean_c84,0.5118564131222223,
support_mean_c841,0.8191894196,
support_mean_c845,0.49015576861111115,
support_mean_c85,1.100385658788889,
support_mean_c852,0.543224513,
support_mean_c855,0.939079207111111,
support_mean_c86,1.7697599457777782,
support_mean_c865,0.7974768594444445,
support_mean_c866,1.6602332053333333,
support_mean_c868,0.47486469532222225,
support_mean_c870,1.2405562974444446,
support_mean_c871,0.42384286718888886,
support_mean_c872,0.4378974566444445,
support_mean_c876,0.7618413858888888,
support_mean_c880,1.007192577888889,
support_mean_c881,0.8579015213333333,
support_mean_c882,1.2409926175111112,
support_mean_c884,0.46934620031111113,
support_mean_c890,0.3946059687088889,
support_mean_c895,0.6601955771333334,
support_mean_c898,1.2322463985999998,
